epoch,accuracy,dice_coef,dice_coef_edema,dice_coef_enhancing,dice_coef_necrotic,loss,lr,mean_io_u,precision,sensitivity,specificity,val_accuracy,val_dice_coef,val_dice_coef_edema,val_dice_coef_enhancing,val_dice_coef_necrotic,val_loss,val_mean_io_u,val_precision,val_sensitivity,val_specificity
0,0.9800938963890076,0.2690540850162506,0.12823131680488586,0.0531858429312706,0.05265926569700241,0.12613308429718018,0.001,0.6303192377090454,0.9793493151664734,0.9702393412590027,0.9945133924484253,0.9813510179519653,0.2856360375881195,0.17754217982292175,0.05728815123438835,0.09032537043094635,0.07060917466878891,0.733640730381012,0.9811837673187256,0.9812059998512268,0.9937402606010437
1,0.9832492470741272,0.29064592719078064,0.18630585074424744,0.10378067940473557,0.10508380085229874,0.06851474940776825,0.001,0.6655380725860596,0.9848754405975342,0.9810339212417603,0.9949638843536377,0.9813511371612549,0.3153299391269684,0.221819207072258,0.15758271515369415,0.16514122486114502,0.07063816487789154,0.7957571148872375,0.9875759482383728,0.9737153053283691,0.9958009719848633
2,0.983637273311615,0.31029394268989563,0.2355533093214035,0.16111049056053162,0.13746562600135803,0.05959755554795265,0.001,0.5005300641059875,0.986234724521637,0.980904757976532,0.9954009652137756,0.9812897443771362,0.3256828784942627,0.24140457808971405,0.33731308579444885,0.15161213278770447,0.07028836756944656,0.4226395785808563,0.9907869100570679,0.9695605635643005,0.9968223571777344
3,0.9852818250656128,0.3437514007091522,0.32638633251190186,0.2452966421842575,0.18763397634029388,0.05017848312854767,0.001,0.4688875675201416,0.9898133277893066,0.9815051555633545,0.9965365529060364,0.9800600409507751,0.3710731565952301,0.4228835701942444,0.3409999907016754,0.23404820263385773,0.058414917439222336,0.42300766706466675,0.9883459806442261,0.9720102548599243,0.9959633350372314
4,0.9852244257926941,0.35518738627433777,0.33583202958106995,0.30886876583099365,0.18445992469787598,0.050872620195150375,0.001,0.4012264609336853,0.9898897409439087,0.9814331531524658,0.9965546131134033,0.986099362373352,0.41127482056617737,0.427002876996994,0.4203073978424072,0.23762311041355133,0.05043291673064232,0.41404053568840027,0.9890446066856384,0.9822987914085388,0.9962480068206787
5,0.9857746362686157,0.3759344816207886,0.3649142384529114,0.38687920570373535,0.19770465791225433,0.04736463353037834,0.001,0.44904714822769165,0.9897518754005432,0.982161819934845,0.996518611907959,0.9849686026573181,0.4055993854999542,0.44836559891700745,0.44026127457618713,0.24624238908290863,0.04753883555531502,0.800284743309021,0.9913238286972046,0.9781933426856995,0.9969499111175537
6,0.9873645901679993,0.4051538407802582,0.44615983963012695,0.42233484983444214,0.251552939414978,0.03976359963417053,0.001,0.5601457357406616,0.9915299415588379,0.9831491112709045,0.9970759749412537,0.9853466749191284,0.41804206371307373,0.42452472448349,0.43794116377830505,0.326352059841156,0.042376305907964706,0.3926791846752167,0.9920488595962524,0.9796296954154968,0.9971867203712463
7,0.9885047078132629,0.431410014629364,0.48146137595176697,0.4974904954433441,0.2774963676929474,0.03610115870833397,0.001,0.5308473706245422,0.9919478893280029,0.9845516085624695,0.9972269535064697,0.9857102036476135,0.44753122329711914,0.5579348802566528,0.4438745081424713,0.2814807891845703,0.04152104631066322,0.5591933727264404,0.9876888394355774,0.9833425283432007,0.995886504650116
8,0.9889439940452576,0.45032793283462524,0.5170940160751343,0.53335040807724,0.2830252945423126,0.03548609837889671,0.001,0.4424063265323639,0.9915096163749695,0.9860461354255676,0.9971131086349487,0.9862928986549377,0.47323542833328247,0.5245393514633179,0.5552601218223572,0.37795931100845337,0.04144949093461037,0.415549635887146,0.989723801612854,0.9827371835708618,0.9965219497680664
9,0.9893237948417664,0.4682787358760834,0.5488424897193909,0.5456678867340088,0.33419549465179443,0.032760340720415115,0.001,0.440706342458725,0.9918444752693176,0.9864215850830078,0.997217059135437,0.988878607749939,0.4899214804172516,0.6020692586898804,0.4811496138572693,0.37774068117141724,0.03299358859658241,0.48323094844818115,0.9912476539611816,0.9863291382789612,0.997024416923523
10,0.9900144338607788,0.49012064933776855,0.5833387970924377,0.5640524625778198,0.36512863636016846,0.029952123761177063,0.001,0.5015488862991333,0.9923434853553772,0.9873070120811462,0.9973912835121155,0.9876700639724731,0.468635618686676,0.4756815731525421,0.5022698640823364,0.36372190713882446,0.03922584280371666,0.47772520780563354,0.9903144836425781,0.9845202565193176,0.9967145919799805
11,0.9905399084091187,0.5034691095352173,0.6106144785881042,0.5824767351150513,0.3933637738227844,0.027369612827897072,0.001,0.46853765845298767,0.9926350712776184,0.9880290627479553,0.9974891543388367,0.9889529943466187,0.5055264830589294,0.5521872043609619,0.5432904958724976,0.4505481719970703,0.03169652819633484,0.5179387331008911,0.9918949007987976,0.9855995178222656,0.9972320795059204
12,0.9907826781272888,0.514566957950592,0.6197835206985474,0.6128086447715759,0.4025062620639801,0.026711096987128258,0.001,0.46829813718795776,0.992673397064209,0.9884151816368103,0.997505247592926,0.9903246164321899,0.5381479263305664,0.6858034133911133,0.5524228811264038,0.44497424364089966,0.0287371464073658,0.46459251642227173,0.9919512867927551,0.9880006909370422,0.9972788691520691
13,0.9913293123245239,0.525440514087677,0.6396464705467224,0.6068360805511475,0.42936211824417114,0.025053318589925766,0.001,0.4648228883743286,0.992946207523346,0.9890585541725159,0.9976094365119934,0.9895865321159363,0.5379376411437988,0.6058761477470398,0.5949969291687012,0.48486965894699097,0.03268429636955261,0.4454719126224518,0.9917886257171631,0.9868579506874084,0.9972046613693237
14,0.9916256666183472,0.5384849309921265,0.6393157243728638,0.6295230984687805,0.4551984965801239,0.02415069006383419,0.001,0.6864547729492188,0.9931377172470093,0.9893860816955566,0.9976640939712524,0.9903926849365234,0.5412889122962952,0.6197918057441711,0.6128571629524231,0.4826369881629944,0.03062361665070057,0.5784331560134888,0.9925981760025024,0.9874036908149719,0.9974759817123413
15,0.9928989410400391,0.5778530836105347,0.7031387686729431,0.6736809015274048,0.5166534781455994,0.019983282312750816,0.00020000001,0.5906611680984497,0.9939308762550354,0.990940272808075,0.9979391694068909,0.991089403629303,0.564893901348114,0.7079710960388184,0.5924264788627625,0.44034144282341003,0.027158105745911598,0.6439012885093689,0.9916670322418213,0.989563524723053,0.9972001314163208
16,0.9932683706283569,0.5965308547019958,0.7279295325279236,0.6798231601715088,0.5374562740325928,0.018815338611602783,0.00020000001,0.592268705368042,0.9939340949058533,0.9915956258773804,0.997948944568634,0.9918863773345947,0.5933442711830139,0.7211857438087463,0.6250327229499817,0.5515058040618896,0.024617508053779602,0.5565900802612305,0.9926076531410217,0.9901384115219116,0.9975108504295349
17,0.9935088157653809,0.6086945533752441,0.7346372604370117,0.6923066973686218,0.5647844672203064,0.018180841580033302,0.00020000001,0.6250794529914856,0.9940699934959412,0.9919304251670837,0.9979957342147827,0.9915190935134888,0.5783725380897522,0.6881000995635986,0.6435674428939819,0.5550869107246399,0.024942439049482346,0.5171689391136169,0.9932425022125244,0.9889436960220337,0.9976974725723267
18,0.9935887455940247,0.6090908646583557,0.7409722805023193,0.6898205876350403,0.5657420754432678,0.01783885806798935,0.00020000001,0.5818291902542114,0.9941767454147339,0.9919795989990234,0.9980304837226868,0.9922021627426147,0.6008775234222412,0.7373181581497192,0.6321107745170593,0.5520064234733582,0.02363394945859909,0.6486486792564392,0.99284827709198,0.9905668497085571,0.9975901246070862
19,0.9938042759895325,0.6195457577705383,0.7497158646583557,0.6985674500465393,0.5818517208099365,0.01727892830967903,0.00020000001,0.707442045211792,0.9942614436149597,0.9922855496406555,0.9980602860450745,0.9923365116119385,0.6053285002708435,0.72724848985672,0.6432662010192871,0.5655760765075684,0.023677116259932518,0.6550193428993225,0.9931080937385559,0.9905956387519836,0.9976691007614136
